url,title,description,content,author,date,extraction_method,domain,country,content_length,scraped_at
https://www.frihetskamp.no/elon-musk-saksokt-for-twitter-oppkjopet/,Elon Musk saksøkt for Twitter-oppkjøpet,,"ØKONOMISK KRIMINALITET Tirsdag anla det amerikanske finanstilsynet SEC søksmål mot Tesla-gründeren. Tilsynet hevder Musk unnlot å rapportere sin betydelige aksjeandel i Twitter før han gjennomførte et større oppkjøp, angivelig for å holde aksjekursen kunstig lav.
Da Elon Musk kjøpte aksjer i meldingsappen Twitter i 2022, gjorde han det, ifølge den amerikanske finansmyndigheten SECs søksmål, for å «på eget initiativ forårsaket kunstig lave priser». SEC hevder at de 44 milliardene dollar han betalte var minst 150 millioner dollar for lite.
Før sitt store oppkjøp hadde Musk bygget opp en eierandel på over 5 %, noe som ifølge reglene krever at man rapporterer beholdningen offentlig innen ti kalenderdager etter at denne terskelen er nådd.
I søksmålet, som er innlevert til en føderal domstol i Washington D.C., påpekes det at Musk var mer enn ti dager forsinket med å rapportere denne vesentlige informasjonen, noe som «gjorde det mulig for ham å betale minst 150 millioner dollar mindre for aksjene han kjøpte etter at rapporteringsplikten inntrådte». SEC argumenterer for at investorer kunne ha budt opp aksjekursen hvis de hadde kjent til Musks andel og interesse for selskapet.
Musk og advokat avviser SEC-anklager som grunnløse
Musks advokat Alex Spiro kommenterte tirsdag i en e-post at SECs handling i praksis er en innrømmelse av at «de ikke er i stand til å føre en reell sak» og kalte søksmålet for en «bløff» og resultatet av en «flere år lang trakasseringskampanje som kulminerte i en enkelt triviell anklage».
I et innlegg på X etter at søksmålet ble innlevert, beskriver Musk SEC som «en ødelagt organisasjon som fokuserer på slikt tull når det finnes så mange uløste virkelige forbrytelser».
Totally broken organization.
— Elon Musk (@elonmusk) January 15, 2025
They spend their time on shit like this when there are so many actual crimes that go unpunished.",Av Redaksjonen,2025-01-15T00:00:00.000000,trafilatura,www.frihetskamp.no,norway,,
https://www.nyatider.nu/skribent/klaus-bernpainter/,Klaus Bernpainter - NyaTider.se,"Julen är en underbar högtid. Vår germanska jultradition, som blandar både hedniskt och kristet, är mycket rikare och djupare än dagens urspårade julhandel och Coca Cola-tomtar. När vi för traditioner vidare till våra barn, rustar vi våra efterkommande med livsuppehållande värderingar. Men för att denna tradering ska inträffa räcker det inte med att bara fira traditionerna. Vi behöver även förklara deras sanna innebörd. Bara på det sättet kan vår civilisation blomstra igen. Det menar civilingenjör Klaus Bernpaintner i veckans opinionsartikel.","Klaus Bernpainter
Artiklar av Klaus Bernpainter
Traditionens betydelse
🟠 JULKRÖNIKA Julen är en underbar högtid. Vår germanska jultradition, som blandar både hedniskt och kristet, är mycket rikare och djupare än dagens urspårade julhandel och Coca Cola-tomtar. När vi för traditioner vidare till våra barn, rustar vi våra efterkommande med livsuppehållande värderingar. Men för att denna tradering ska inträffa räcker det inte med att bara fira traditionerna. Vi behöver även förklara deras sanna innebörd. Bara på det sättet kan vår civilisation blomstra igen. Det menar civilingenjör Klaus Bernpaintner i veckans opinionsartikel.
Storskaligt är progressivt, lokalt är konservativt
🟠 Regeringsformen börjar: ”All offentlig makt i Sverige utgår från folket... Den förverkligas genom ett representativt och parlamentariskt statsskick och genom kommunalt självstyre.” Om det där med kommunalt självstyre verkligen vore sant skulle Sverige varit i mycket bättre skick än i dag. Det argumenterar Klaus Bernpaintner för i veckans debattartikel.
Nyhetsdygnet
Senaste numret
Nya Tiders nyhetsbrev!",Klaus Bernpainter,2023-12-21T00:00:00.000000,trafilatura,nyatider.nu,sweden,,
https://www.document.no/2012/11/12/og-hva-minner-israel-boikotten-om/,Og hva minner Israel-boikotten om?,,"Israelske musikere og dansere får sine forestillinger i Europa og USA forstyrret/ødelagt. Hvorfor er det ingen som drømmer om å gjøre det samme mot andre?
Logg inn for å lese videre (abonnenter).
Støtt Norges viktigste uavhengige medium!
Bli abonnentPluss-artikler blir åpnet 48 timer etter publisering. Artikler som er eldre enn to år er forbeholdt abonnenter.",Hans Rustad,2012-11-12T00:00:00.000000,trafilatura,www.document.no,norway,,
https://samnytt.se/vatikanen-ramadan-ar-viktigt-for-kristna-ocksa/,Vatikanen: Ramadan är viktigt för kristna också » Samnytt,Samnytt - ocensurerade nyheter. Samnytt rapporterar om det som gammelmedia döljer.,"I samband med att den muslimska fastemånaden inleddes i förra veckan gick Vatikanen ut och hävdade att ramadanmånaden är viktig inte bara för muslimer, utan också för troende från andra religioner, “i synnerhet kristna”.
I ett meddelande om lyckönskningar till muslimer runt om i världen sa Vatikanens avdelning för interreligiös dialog att under månaden ramadan förstärks befintliga vänskapsband och andra byggs upp, “banar väg för mer fredlig, harmonisk och glädjefylld samexistens”.
“Detta motsvarar den gudomliga viljan för våra samhällen, och faktiskt för alla medlemmar och samhällen i den enda mänskliga familjen”, lyder texten som publicerades av Vatikanen på fredagen.
Sådan fredlig och vänlig samexistens hotas av “extremism, radikalism, polemik, dispyter och religiöst motiverat våld”, förklarar budskapet, och dessa hot “drivs av en hatkultur”.
LÄS ÄVEN: Påven välkomnar illegala invandrare: ”Europa skapades av migranter”
En sådan kultur måste motverkas och övervinnas genom att i stället “förstärka kärlek och vänskap, särskilt mellan muslimer och kristna, på grund av de band som förenar oss”, hävdar Vatikankontoret.
Även om olikheter kan uppfattas som ett hot får vi inte ignorera eller glömma det vi har gemensamt, fortsätter budskapet.
Detta innebär att övervinna negativa attityder till dem som skiljer sig från oss som “misstanke, rädsla, rivalitet, diskriminering, utanförskap, förföljelse, polemik, förolämpningar och baktal”, står det i meddelandet.
Hat i sociala medier
Vidare hävdas att sociala medieplattformar är “vanliga utrymmen för sådana skadliga beteenden” och på så sätt förvränger deras roll som medel för kommunikation och vänskap till att “vara instrument för fiendskap och strid”.
Det som i stället behövs är ”respekt, godhet, välgörenhet, vänskap, ömsesidig omsorg för alla, förlåtelse, samarbete för det gemensamma bästa, hjälp till alla som är i någon form av nöd och omsorg om miljön”, står det i texten.
LÄS ÄVEN: Påven: Tredje världskriget är här","",2023-03-28T00:00:00.000000,trafilatura,samnytt.se,sweden,,
http://24nyt.dk/vil-ikke-stoede-muslimske-elever/,Vil ikke støde muslimske elever - 24NYT,Del gerne artiken! 24NYT – Danmarks borgerlige netavis,"Vil ikke støde muslimske elever 12. december 2022 24NYT ab, Nyheder Kommentarer lukket til Vil ikke støde muslimske elever Vi ville gerne tilbyde hele avisen GRATIS! Men det er dyrt at udgive 24NYT, og derfor håber vi, at du vil støtte os med et abonnement. Medlemmer bedes klikke Login. VÆLG VORES FORETRUKNE ABONNEMENT: ________________________19,-/ugeMindstepris 989,-________________________ Adgang til arkivet Avisen leveret på mail Ingen reklamer Adgang til alle artikler________________________Min. abonnementsperiode: 1 år kun 989kr. pr. årSpar 1560 kr. Skriv din mening (Du skal være logget på Facebook)","",2022-12-12T00:00:00.000000,trafilatura,24nyt.dk,denmark,,
http://24nyt.dk/israel-og-eu-indgaar-en-gasaftale/,Israel og EU indgår en gasaftale - 24NYT,Del gerne artiken! 24NYT – Danmarks borgerlige netavis,"EU ventes onsdag at indgå en aftale om levering af gas fra Israel. Det skal efter planen ske ved en energikonference i den egyptiske hovedstad, Kairo. Det oplyser Reuters.
EU anser Israel som et god ny gaskilde, på et tidspunkt hvor unionen forsøger at gøre sig uafhængig af gas fra Rusland. Aftalen indebærer, at Israel vil eksportere en “betragtelig” mængde gas til Europa via Egypten.","",2022-06-15T00:00:00.000000,trafilatura,24nyt.dk,denmark,,
https://nyadagbladet.se/utrikes/svensk-fn-medarbetare-avstangd-avslojade-sexuella-overgrepp/,Svensk FN-medarbetare avstängd – avslöjade sexuella övergrepp,Läckte information om FN-soldaters sexuella övergrepp. Den svenske FN-medarbetaren Anders Kompass har stängts av efter han läckt en känslig rapport.,"Den svenske FN-medarbetaren Anders Kompass har stängts av för att ha larmat till åklagare om sexuella övergrepp, som begicks av FN-trupper i Centralafrikanska republiken.
Anders Kompass är en högt uppsatt biståndsarbetare för FN, som i över 30 år har varit involverad i FN:s biståndsarbete.
Nu har han stängts av sedan han valt att läcka en intern rapport om hur FN:s franska fredsbevarande styrkor utförde sexuella övergrepp på barn i Centralafrikanska republiken, uppger källor till den brittiska dagstidningen The Guardian.
Den sekretessbelagda rapporten läcktes till franska åklagare på grund av ”FN:s ovilja att försöka stoppa övergreppen”, skriver The Guardian.
Några av de fall som tas upp i rapporten handlar om hur nio franska soldater tillhörande FN:s fredsbevarande styrkor har våldtagit barn, från 9 år och uppåt, i utbyte för mat och pengar, under 2014.
Sommaren 2014 gavs rapporten till FN:s kommission för mänskliga rättigheter i Genève. När ingenting hade hänt valde då Anders Kompass, som är stationerad i Genève, att ge den hemligstämplade rapporten till den franska åklagarmyndigheten.
FN har bekräftat för The Guardian att man håller på med en utredning av en anställd.",Osignerad,2015-04-29T00:00:00.000000,trafilatura,nyadagbladet.se,sweden,,
https://www.document.no/2022/10/10/nord-korea-hevder-rakettester-var-atomovelser/,Nord-Korea hevder rakettester var atomøvelser,,"De sju rakettestene som Nord-Korea har gjennomført den siste tiden, var øvelser for bruk av taktiske atomvåpen, hevder landets myndigheter.
Logg inn for å lese videre (abonnenter).
Støtt Norges viktigste uavhengige medium!
Bli abonnentPluss-artikler blir åpnet 48 timer etter publisering. Artikler som er eldre enn to år er forbeholdt abonnenter.",Peder Jensen,2022-10-10T00:00:00.000000,trafilatura,www.document.no,norway,,
https://bulletin.nu/lidstrom-vi-har-en-moralisk-skyldighet-att-lagga-ner-sida,Lidström: Vi har en moralisk skyldighet att lägga ner Sida,,"Lidström: Vi har en moralisk skyldighet att lägga ner Sida
Biståndsminister Benjamin Dousa borde lägga ner biståndsmyndigheten Sida skriver Erik Lidström. Foto: Henrik Montgomery/TT
Sveriges biståndspolitik har aldrig fungerat och kan aldrig fås att fungera. Istället förstör den för de fattiga i världen och bör avvecklas omgående, skriver Erik Lidström.
Varför existerar Sida? Det instinktiva svaret verkar vara att vi i Sverige är rika, andra är fattiga, och vi har en moralisk skyldighet att hjälpa människor i nöd.",Erik Lidström,2025-02-11,,,sweden,519,2025-09-05T21:43:24.528475
https://www.document.no/2006/12/22/franz_marc/,Franz Marc,,"Franz Marc: Tierschicksale (dyreskjebner) Marc var født 1880 og døde ved Verdun i 1916..
Logg inn for å lese videre (abonnenter).
Støtt Norges viktigste uavhengige medium!
Bli abonnentPluss-artikler blir åpnet 48 timer etter publisering. Artikler som er eldre enn to år er forbeholdt abonnenter.",Hans Rustad,2006-12-22T00:00:00.000000,trafilatura,www.document.no,norway,,
https://www.document.no/2019/07/28/det-kanns-som-det-har-aldrig-kommer-ta-slut/,– Det känns som det här aldrig kommer ta slut,,"En barnefamilie måtte flykte over balkongen da nok en bombe eksploderte i Rosengård i Malmö. Bomben blåste ut hele inngangen og skadet store deler av fasaden samt at mange av vinduene ble ødelagt. Blokken hvor bomben ble sprengt ligger ved siden en barnehage og en lekeplass. En av de som ble skremt av bomben var […]
Logg inn for å lese videre (abonnenter).
Støtt Norges viktigste uavhengige medium!
Bli abonnentPluss-artikler blir åpnet 48 timer etter publisering. Artikler som er eldre enn to år er forbeholdt abonnenter.",Hanne Tolg,2019-07-28T00:00:00.000000,trafilatura,www.document.no,norway,,
https://180grader.dk/artikel/er-pia-kjaersgaard-trendy-og-paa-forkant-flere-kvinder-baerer-vaaben-i-natten,Er Pia Kjærsgaard trendy og på forkant ? - Flere kvinder bærer våben i natten,"Pigerne medbringer blandt andet strømpistoler, knive og pebersprayer eller redskaber som nøgler, skruetrækkere og hårspraydåser","Pigerne medbringer blandt andet strømpistoler, knive og pebersprayer eller redskaber som nøgler, skruetrækkere og hårspraydåser. Og det ryster politiet.
Nyheden er fra sen fredag aften, så den massive stilhed fra venstrefløjens moralkor skyldes måske sommerferien og heden.
Nyheden er fra sen fredag aften, så den massive stilhed fra venstrefløjens moralkor skyldes måske sommerferien og heden.",Ikke angivet Ikke angivet,2010-07-25T00:00:00.000000,trafilatura,180grader.dk,denmark,,
https://nyheteridag.se/misstankt-fynd-av-manskliga-kvarlevor-vid-skanska-kusten/,Misstänkt fynd vid skånska kusten kommer inte från en människa - Nyheter Idag,HÖLLVIKEN Ett misstänkt fynd av mänskliga kvarlevor gjordes under dagen utanför Höllviken i sydligaste Skåne. Efter undersökning står det nu klart att det påträffade föremålet inte kommer från en människa. Polisen skriver på sin hemsida att man fick ett samtal från en person klockan 11:38 idag. Ett föremål hade då hittats vid strandkanten i Höllviken,"Misstänkt fynd vid skånska kusten kommer inte från en människa
HÖLLVIKEN Ett misstänkt fynd av mänskliga kvarlevor gjordes under dagen utanför Höllviken i sydligaste Skåne. Efter undersökning står det nu klart att det påträffade föremålet inte kommer från en människa.
Polisen skriver på sin hemsida att man fick ett samtal från en person klockan 11:38 idag. Ett föremål hade då hittats vid strandkanten i Höllviken som man misstänkte var en mänsklig kvarleva.
– Det är någonting som har med kött att göra av något slag och med tanke på det ärende som funnits aktuellt sedan förra veckan så drar man direkt kopplingar och tänker att det kan komma från en människa, säger Åsa Emanuelsson på Skånepolisen till Nyheter Idag.
Området vid stranden spärrades av och enligt Emanuelsson drog polis och räddningstjänst igång en större insats med bland annat båt, dykare och helikopter för att söka av området. Kriminaltekniker skickades till platsen och det påträffade föremålet skickades till rättsläkare för undersökning.
Det fanns alltså misstankar om att det påträffade fyndet är en del av den svenska journalisten Kim Walls kropp. Hennes torso hittades i måndags vid strandkanten utanför den danska ön Amager nära huvudstaden Köpenhamn. Polisen i Danmark informerades därför om fyndet.
– Det är ganska naturligt att man informerar dansk polis i ett sådant ärende eftersom de arbetar med det just nu, säger Åsa Emanuelsson.
Klockan 20:36 meddelade emellertid polisen att fyndet inte är en mänsklig kvarleva.
”Efter kriminalteknisk undersökning av det anträffade fyndet, har det konstaterats att det inte är en mänsklig kroppsdel som anträffats. Inga ytterligare fynd har gjorts vid platsen. Avspärrningarna är hävda. Ingen misstanke om brott”, skriver polisen i en uppdatering på sin hemsida.",Mattias Albinsson,2017-08-24T00:00:00.000000,trafilatura,nyheteridag.se,sweden,,
https://ledarsidorna.se/plus/den-franska-identitetskrisen/,Den franska identitetskrisen,"","Den franska identitetskrisen
Plus Denna artikel behöver PLUS
Missa inte våra fördjupande reportage och extramaterial i våra avslöjanden. Med Plus får du tillgång till alla artiklar, bilder och videoklipp. Glöm inte att med fler prenumeranter kan vi satsa ännu mer på relevant journalistik.",Chris Forsne,2025-01-01T00:00:00.000000,trafilatura,ledarsidorna.se,sweden,,
https://180grader.dk/artikel/iraners-sag-om-tlt-ophold-sr-tvivl-om-tuneserloven,Iraners sag om tålt ophold sår tvivl om tuneserloven,af Morten Bjerg En sag af yderst principielt karakter blev afgjort 1,"af Morten Bjerg
En sag af yderst principielt karakter blev afgjort 1. juni i Højesteret, da iraneren Elias Karkavandi vandt en sag om krænkelse af hans basale rettigheder med reglerne for tålt ophold i Danmark.
Elias Karkavandi blev dømt 1 år og seks måneders fængsel for at stå vagt for pusherne på Christiania. Han blev efterfølgende dømt efter den såkaldte Tuneserlov, et makværk der meget forhastet og i en panisk stemning blev indført i 2008 af den daværende regering og Dansk Folkeparti, fordi en tuneser var mistænkt for mordplaner på muhammedtegneren Kurt Westergaard, samtidig med at han boede 10 minutters gang fra tegnerens bopæl.
Reglerne for tålt ophold indebærer blandt andet at man skal møde på Sandholmlejren hver dag og møde hos politiet 3 gange om ugen. I sagen Elias Karkavandi vurderede Højesteret, at i hans tilfælde er det at gå for langt og er det en indskrænkelse af hans bevægelsesfrihed med den omfattende kontrol målt med forbrydelsens omfang.",Podia Ikke angivet,2012-06-03T00:00:00.000000,trafilatura,180grader.dk,denmark,,
https://nyheteridag.se/lindberg-rasar-nar-regeringen-ska-stoppa-s-lotterier-angrepp-pa-grundlaggande-demokratiska-principer/,Lindberg rasar när regeringen ska stoppa S-lotterier: ”Angrepp på grundläggande demokratiska principer” - Nyheter Idag,"Aftonbladets politiska chefredaktör Anders Lindberg anklagar regeringen för att angripa ""grundläggande demokratiska principer"" när man utreder ett förbud mot lotteriverksamhet kopplad till politiska partier. Bakgrunden är att de så kallade A-lotterierna, där Kombilotteriet, Femman och Glädjelotten ingåår, är Socialdemokraternas främsta kassako. År 2021 tjänade partiet hela 152 miljoner kronor på lotteriverksamhet, vilket var nära hälften av partiets","Lindberg rasar när regeringen ska stoppa S-lotterier: ”Angrepp på grundläggande demokratiska principer”
Aftonbladets politiska chefredaktör Anders Lindberg anklagar regeringen för att angripa ”grundläggande demokratiska principer” när man utreder ett förbud mot lotteriverksamhet kopplad till politiska partier.
Bakgrunden är att de så kallade A-lotterierna, där Kombilotteriet, Femman och Glädjelotten ingåår, är Socialdemokraternas främsta kassako. År 2021 tjänade partiet hela 152 miljoner kronor på lotteriverksamhet, vilket var nära hälften av partiets samlade inkomster på 340 miljoner kronor för året.
Socialdemokraternas lotteriverksamhet gav partiet den i särklass största valbudgeten inför 2022 års val. Som en jämförelse hade Moderaterna under 2021 inkomster på 136 miljoner, av vilka 9 miljoner kronor kom från lotteriförsäljning.
Läs även: Regeringen ska stoppa sosselotterier
Enligt källor till Expressen har initiativet till en utredning om att förbjuda partipolitiska lotterier tagits av Sverigedemokraterna, men det ska finnas en samsyn bland regeringspartierna om att ta fram ett förslag.
Det hela motiveras med att det är olämpligt att partier bedriver lotteriverksamhet med tanke på spelandets negativa konsekvenser, samtidigt som spelintäkterna inte lever upp till kravet på transparens i partifinansieringen, eftersom man inte vet vem som köper lotterna.
Det hela får emellertid Aftonbladets politiska chefredaktör Anders Lindberg att gå i taket. ”Nu börjar regeringen använda statsmakten för att förstöra oppositionens organisationer och finansiering. Det här är väldigt långt från Sveriges demokratiska traditioner” skriver han i en kommentar på Twitter.
Nu börjar regeringen använda statsmakten för att förstöra oppositionens organisationer och finansiering.
Det här är väldigt långt från Sveriges demokratiska traditioner.https://t.co/PYg7ljte9k
— Anders Lindberg (@anderslindberg) April 28, 2023
Lindberg skriver vidare att han väntar sig ”fler angrepp på grundläggande demokratiska principer. Men det här ganska unikt: ett riktat försök från staten att första ett specifikt partis partiorganisation.”
Antar att detta var väntat, det kommer säkert fler angrepp på grundläggande demokratiska principer.
Men det här ganska unikt: ett riktat försök från staten att första ett specifikt partis partiorganisation.
— Anders Lindberg (@anderslindberg) April 28, 2023
Lindbergs inlägg står emellertid inte oemotsagt. Statsvetaren Teodor Koistinen påminner om tidigare rapportering av hur de socialdemokratiska lotterierna gått till.
""grundläggande demokratiska principer""https://t.co/bC7GbUGpJv
— Teodor Koistinen (@TeodorKoistinen) April 28, 2023
""oppositionens organisationer och finansiering"" pic.twitter.com/6LBuaEHj5z
— Teodor Koistinen (@TeodorKoistinen) April 28, 2023
”Sossarna har riggat systemet och kommit undan lagar och regler genom att klassa sina lotter som samhällsnyttiga, och därmed kunnat sälja lotter på kredit” skriver Susanna Silfverskiöld, politiskt sakkunnig på Statsrådsberedningen.
Aftonbladets Anders Lindberg menar att regeringen ”använder statsmakten för att förstöra oppositionens finansiering”. Snälla. Sossarna har riggat systemet och kommit undan lagar och regler genom att klassa sina lotter som samhällsnyttiga, och därmed kunnat sälja lotter på kredit.
— Susanna Silfverskiöld (@susannasilfver) April 28, 2023
Hanif Bali menar att ett eventuellt bortfall av inkomsterna från lotterierna kommer ”slå mycket hårdare än vad ni tror” mot Socialdemokraterna.
När S blir av med sina lotterinkomster kommer det slå mycket hårdare än vad ni tror. I och med att sossarna alltid har badat i pengar så har de en extremt svullen organisation. Sossarna kan inte kopiera ett flygblad utan en stab av heltidsanställda ombudsmän.
Stålbad incoming.
— Hanif Bali (@hanifbali) April 28, 2023
”Socialdemokratiska opinionsbildares försvar av a-lotteriet är naturligtvis enbart ett uttryck för en genuin och välgrundad oro över den svenska demokratins framtid och har absolut ingenting med det egna partiet att göra” skriver Timbros Andres Johansson Heinö.
socialdemokratiska opinionsbildares försvar av a-lotteriet är naturligtvis enbart ett uttryck för en genuin och välgrundad oro över den svenska demokratins framtid och har absolut ingenting med det egna partiet att göra
— Andreas Johansson Heinö (@JohanssonHeino) April 28, 2023
Bawar Kim Ismail, som är politiskt sakkunnig hos arbetsmarknads- och integrationsminister Johan Pehrson (L), menar att det är ”osvenskt med partilotteri som skuldsätter redan skuldsatta människor och driver dem till Kronofogden”.
Osvenskt med partilotteri som skuldsätter redan skuldsatta människor och driver dem till Kronofogden. Bra att regeringen vill åtgärda detta nu.https://t.co/322BrOFkr7
— Bawar Kim Ismail (@thelemoncurd) April 28, 2023
Youtubern och krönikören Henrik Jönsson menar att ett förbud mot ”socialdemokraternas oetiska lotto-kassako” är ”en moralisk, ekonomisk och kulturell seger för Sveriges demokrati!”.
Regeringen slaktar socialdemokraternas oetiska lotto-kassako. Detta är en moralisk, ekonomisk och kulturell seger för Sveriges demokrati! pic.twitter.com/EYO52iKV3d
— Henrik Jönsson (@jonsson_henrik) April 28, 2023
Läs även: Anders Lindbergs varning: Då kommer Kristersson få sitta i åtta år
Läs även: Lindberg om att Strandhäll drar ned på twittrandet: ”Större demokratiskt problem”",Johannes Nilsson,2023-04-28T00:00:00.000000,trafilatura,nyheteridag.se,sweden,,
https://nyadagbladet.se/inrikes/forsvarsmakten-behover-miljontals-dronare/attachment/jonny-lindfords-dronare7/,Jonny-Lindfords-drönare7 – Nya Dagbladet,,"https://www.istockphoto.com/se/foto/military-drone-attack-on-oil-refinery-oil-depot-fire-explosions-and-fire-gm2148608118-569775238
https://nyadagbladet.se/inrikes/forsvarsmakten-behover-miljontals-dronare/attachment/jonny-lindfords-dronare7/
https://www.istockphoto.com/se/foto/military-drone-attack-on-oil-refinery-oil-depot-fire-explosions-and-fire-gm2148608118-569775238",– Av Christer Skog,2025-04-04,,,sweden,374,2025-09-05T22:16:15.205697
https://swebbtv.se/a/gabriel_ekman/video-channels,Gabriel Ekman,Svensk Webbtelevision är ett medborgarfinansierat initiativ för att skapa en regelbunden och allsidig nyhets- och informationsförmedling som ger uttryck för ett breddat utbud av ämnen och perspektiv samt granskning av för demokratin grundläggande skeenden. Därför tror vi på en fri och öppen debatt där olika åsikter får komma till uttryck.,"PeerTube
Incompatible browser
We are sorry but it seems that PeerTube is not compatible with your web browser.
Please try with the latest version of Mozilla Firefox.
If you think this is a mistake, please report it.","",2021-02-10T00:00:00.000000,trafilatura,swebbtv.se,sweden,,
